index,source,source link,hosted link,screenshot link
1,lllllllAnon,https://twitter.com/lllllllanon/status/1283523444735242240?s=21,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916041/celebrity-bitcoin-scam/1.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916043/celebrity-bitcoin-scam/1_screenshot.png
2,m232e,https://twitter.com/m232e/status/1283525171031269377,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916040/celebrity-bitcoin-scam/2.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916040/celebrity-bitcoin-scam/2_screenshot.png
3,ssj2dan,https://twitter.com/ssj2dan/status/1283572631061618695,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916040/celebrity-bitcoin-scam/3.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916040/celebrity-bitcoin-scam/3_screenshot.png
4,BanishTheShadow,https://twitter.com/BanishTheShadow/status/1283589988328722434,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916040/celebrity-bitcoin-scam/4.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916040/celebrity-bitcoin-scam/4_screenshot.png
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916040/celebrity-bitcoin-scam/4.2.jpg,
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916040/celebrity-bitcoin-scam/4.3.jpg,
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916039/celebrity-bitcoin-scam/4.4.png,
5,Justin2393LEE,https://twitter.com/Justin12393LEE/status/1283571757211963393,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916039/celebrity-bitcoin-scam/5.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916039/celebrity-bitcoin-scam/5_screenshot.png
6,lowstrufe,https://twitter.com/lowstrife/status/1283493444913172480,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916040/celebrity-bitcoin-scam/6.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916039/celebrity-bitcoin-scam/6_screenshot.png
7,lowstrufe,https://twitter.com/lowstrife/status/1283503093318131712,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916038/celebrity-bitcoin-scam/7.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916037/celebrity-bitcoin-scam/7_screenshot.png
8,lowstrufe,https://twitter.com/lowstrife/status/1283515321308139522,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916037/celebrity-bitcoin-scam/8.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916037/celebrity-bitcoin-scam/8_screenshot.png
9,lowstrufe,https://twitter.com/lowstrife/status/1283532478200897539,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916034/celebrity-bitcoin-scam/9.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916037/celebrity-bitcoin-scam/9_screenshot.png
10,bitcoin_is_king,https://twitter.com/Bitcoin_is_king/status/1283528792116547590,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916034/celebrity-bitcoin-scam/10.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916034/celebrity-bitcoin-scam/10_screenshot.png
11,Nyfrix,https://twitter.com/Nyfrix/status/1283523252153921537,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916034/celebrity-bitcoin-scam/11.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916034/celebrity-bitcoin-scam/11_screenshot.png
12,cr777777d,https://twitter.com/cr777777d/status/1283535399315439616,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916033/celebrity-bitcoin-scam/12.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916034/celebrity-bitcoin-scam/12_screenshot.png
13,comeupbabypt2,https://twitter.com/comeupbabypt2/status/1283526229593853959,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916033/celebrity-bitcoin-scam/13.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916033/celebrity-bitcoin-scam/13_screenshot.png
14,Excellion,https://twitter.com/Excellion/status/1283520645523881984,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916033/celebrity-bitcoin-scam/14.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916033/celebrity-bitcoin-scam/14_screenshot.png
15,louanben,https://twitter.com/louanben/status/1283518716118958080,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916032/celebrity-bitcoin-scam/15.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916032/celebrity-bitcoin-scam/15_screenshot.png
16,borismacek,https://twitter.com/borismacek/status/1283543537456472066,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916032/celebrity-bitcoin-scam/16.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916032/celebrity-bitcoin-scam/16_screenshot.png
17,Specimengwe,https://twitter.com/SpecimenIgwe/status/1283627035848593408,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916032/celebrity-bitcoin-scam/17.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916033/celebrity-bitcoin-scam/17_screenshot.png
18,inversebrah,https://twitter.com/inversebrah/status/1283506976643706881,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916031/celebrity-bitcoin-scam/18.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916031/celebrity-bitcoin-scam/18_screenshot.png
19,kennedyforex,https://twitter.com/kennedyforex/status/1283507162103390212,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916031/celebrity-bitcoin-scam/19.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916031/celebrity-bitcoin-scam/19_screenshot.png
20,Breaking911,https://twitter.com/Breaking911/status/1283523035534852096,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916031/celebrity-bitcoin-scam/20.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916031/celebrity-bitcoin-scam/20_screenshot.png
21,TheHackersNews,https://twitter.com/TheHackersNews/status/1283629630725881857,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916031/celebrity-bitcoin-scam/21.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916031/celebrity-bitcoin-scam/21_screenshot.png
22,Jlri_FYNO,https://twitter.com/JIri_FYNO/status/1283713663992582146,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916030/celebrity-bitcoin-scam/22.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916030/celebrity-bitcoin-scam/22_screenshot.png
23,undoomed,https://twitter.com/Undoomed/status/1283532734955233288,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916027/celebrity-bitcoin-scam/23.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916030/celebrity-bitcoin-scam/23_screenshot.png
24,l33tguy,https://twitter.com/l33tguy/status/1283546684090273792,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916027/celebrity-bitcoin-scam/24.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916030/celebrity-bitcoin-scam/24_screenshot.png
25,Official42069,https://twitter.com/Official42069/status/1283533318844289025,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916027/celebrity-bitcoin-scam/25.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916027/celebrity-bitcoin-scam/25_screenshot.png
26,neal_katyal,https://twitter.com/neal_katyal/status/1283560040985702401,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916026/celebrity-bitcoin-scam/26.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916026/celebrity-bitcoin-scam/26_screenshot.png
27,MariannaNBCNews,https://twitter.com/MariannaNBCNews/status/1283517597804363776,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916026/celebrity-bitcoin-scam/27.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916026/celebrity-bitcoin-scam/27_screenshot.png
28,MattBinder,https://twitter.com/MattBinder/status/1283508576489807873,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916026/celebrity-bitcoin-scam/28.1.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916025/celebrity-bitcoin-scam/28_screenshot.png
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916022/celebrity-bitcoin-scam/28.2.png,
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916025/celebrity-bitcoin-scam/28.3.png,
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916025/celebrity-bitcoin-scam/28.4.png,
29,MattBinder,https://twitter.com/MattBinder/status/1283510766780522496,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916022/celebrity-bitcoin-scam/29.1.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916021/celebrity-bitcoin-scam/29_screenshot.png
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916021/celebrity-bitcoin-scam/29.2.png,
30,MattBinder,https://twitter.com/MattBinder/status/1283512229908840448,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916021/celebrity-bitcoin-scam/30.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916020/celebrity-bitcoin-scam/30_screenshot.png
31,MattBinder,https://twitter.com/MattBinder/status/1283512718864142336,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916021/celebrity-bitcoin-scam/31.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1594916020/celebrity-bitcoin-scam/31_screenshot.png
